,Destination,Duration (days),Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Age range,Destination Region,Traveler Region,Trip month,Total cost,Budget
84,Japan,10.0,28.0,Female,Korean,Airbnb,500,Train,300,20 - 28,Asia,Asia,7,800,low
85,Indonesia,11.0,42.0,Female,Spanish,Luxury stay,1200,Airplane,700,38 +,Asia,Europe,8,1900,medium high
86,Australia,9.0,45.0,Male,Australian,Hotel,900,Airplane,600,38 +,Asia,Asia,9,1500,medium high
87,USA,6.0,31.0,Female,US American,Airbnb,700,Car,200,29 - 31,North America,North America,10,900,medium low
88,UK,11.0,29.0,Male,UK,Hostel,300,Airplane,400,29 - 31,Europe,Europe,11,700,low
89,UAE,8.0,24.0,Female,Emirati,Hotel,1000,Airplane,800,20 - 28,Middle east,Middle east,1,1800,medium high
90,Thailand,7.0,26.0,Male,Vietnamese,Airbnb,400,Train,100,20 - 28,Africa,Asia,2,500,low
91,Italy,11.0,30.0,Female,Italian,Hostel,200,Airplane,350,29 - 31,Europe,Europe,3,550,low
92,Indonesia,11.0,33.0,Male,Indonesian,Luxury stay,1500,Car,300,32 - 37,Asia,Asia,4,1800,medium high
93,South Korea,10.0,27.0,Female,Korean,Hotel,800,Train,150,20 - 28,Asia,Asia,5,950,medium low
94,France,5.0,35.0,Male,US American,Hotel,500,Airplane,800,32 - 37,Europe,North America,6,1300,medium low
95,Japan,9.0,28.0,Female,Canadian,Airbnb,400,Train,200,20 - 28,Asia,North America,9,600,low
96,Australia,9.0,45.0,Male,Korean,Hostel,200,Airplane,1200,38 +,Asia,Asia,12,1400,medium low
97,UK,5.0,37.0,Female,UK,Hotel,600,Airplane,700,32 - 37,Europe,Europe,2,1300,medium low
98,USA,6.0,50.0,Male,Chinese,Airbnb,800,Car,300,38 +,North America,Asia,5,1100,medium low
99,Italy,7.0,31.0,Female,Taiwanese,Hotel,700,Airplane,900,29 - 31,Europe,Africa,8,1600,medium high
100,Thailand,8.0,42.0,Male,Japanese,Hostel,300,Train,100,38 +,Africa,Asia,11,400,low
101,South Africa,8.0,27.0,Female,Spanish,Airbnb,500,Airplane,1500,20 - 28,Africa,Europe,1,2000,medium high
102,Brazil,7.0,33.0,Male,Brazilian,Hotel,900,Car,400,32 - 37,South America,South America,4,1300,medium low
103,Indonesia,6.0,29.0,Female,Korean,Luxury stay,1200,Airplane,1000,29 - 31,Asia,Asia,7,2200,high
104,Netherlands,7.0,41.0,Male,German,Hotel,600,Train,150,38 +,Europe,Europe,10,750,low
105,France,5.0,35.0,Male,US American,Hotel,1000,Airplane,800,32 - 37,Europe,North America,5,1800,medium high
106,Japan,9.0,28.0,Female,Korean,Airbnb,800,Train,500,20 - 28,Asia,Asia,9,1300,medium low
107,USA,5.0,42.0,Male,Chinese,Hotel,1200,Car,200,38 +,North America,Asia,6,1400,medium low
108,Indonesia,8.0,30.0,Female,Taiwanese,Luxury stay,1500,Airplane,1200,29 - 31,Asia,Africa,8,2700,high
109,Australia,9.0,26.0,Male,Canadian,Hostel,300,Airplane,900,20 - 28,Asia,North America,7,1200,medium low
110,UK,5.0,38.0,Female,UK,Hotel,900,Train,150,38 +,Europe,Europe,6,1050,medium low
111,Thailand,7.0,45.0,Male,Singapore,Luxury stay,2000,Airplane,700,38 +,Africa,Asia,9,2700,high
112,Italy,7.0,31.0,Female,Italian,Hotel,1100,Train,250,29 - 31,Europe,Europe,5,1350,medium low
113,Greece,7.0,27.0,Male,Greece,Airbnb,1000,Bus & other,150,20 - 28,Europe,Europe,7,1150,medium low
114,UAE,5.0,29.0,Female,Emirati,Hotel,1500,Car,300,29 - 31,Middle east,Middle east,8,1800,medium high
115,Vietnam,5.0,33.0,Male,Cambodia,Hostel,200,Airplane,500,32 - 37,Asia,Asia,9,700,low
116,Japan,9.0,32.0,Female,US American,Hotel,1000,Airplane,700,32 - 37,Asia,North America,2,1700,medium high
117,France,7.0,47.0,Male,Canadian,Hotel,1200,Train,500,38 +,Europe,North America,3,1700,medium high
118,Australia,11.0,26.0,Female,Chinese,Airbnb,800,Airplane,1000,20 - 28,Asia,Asia,5,1800,medium high
119,Italy,7.0,38.0,Male,Korean,Hotel,900,Train,400,38 +,Europe,Asia,6,1300,medium low
120,Indonesia,10.0,29.0,Female,Korean,Hostel,500,Airplane,800,29 - 31,Asia,Asia,7,1300,medium low
121,Mexico,8.0,41.0,Male,US American,Hotel,1300,Airplane,600,38 +,South America,North America,8,1900,medium high
122,Greece,10.0,35.0,Female,Korean,Airbnb,700,Airplane,900,32 - 37,Europe,Asia,9,1600,medium high
123,Japan,8.0,24.0,Male,Korean,Hotel,1200,Airplane,700,20 - 28,Asia,Asia,10,1900,medium high
124,Australia,10.0,30.0,Female,Chinese,Airbnb,900,Airplane,1000,29 - 31,Asia,Asia,11,1900,medium high
125,France,8.0,28.0,Male,US American,Hostel,400,Airplane,700,20 - 28,Europe,North America,1,1100,medium low
126,Indonesia,8.0,33.0,Female,Canadian,Hotel,800,Airplane,800,32 - 37,Asia,North America,2,1600,medium high
128,France,6.0,35.0,Male,US American,Hotel,5000,Airplane,2500,32 - 37,Europe,North America,5,7500,high
129,Japan,7.0,28.0,Female,UK,Airbnb,7000,Train,1500,20 - 28,Asia,Europe,5,8500,high
130,South Africa,9.0,45.0,Male,South African,Hostel,3000,Car,2000,38 +,Africa,Africa,6,5000,high
131,Australia,6.0,31.0,Female,Australian,Hotel,6000,Airplane,3000,29 - 31,Asia,Asia,6,9000,high
132,Italy,7.0,42.0,Male,Korean,Airbnb,4000,Train,1500,38 +,Europe,Asia,7,5500,high
133,USA,7.0,27.0,Female,US American,Hotel,8000,Airplane,2500,20 - 28,North America,North America,7,10500,high
134,Brazil,9.0,37.0,Male,Brazilian,Hostel,2500,Car,2000,32 - 37,South America,South America,8,4500,high
135,Canada,6.0,29.0,Female,Canadian,Hotel,5000,Airplane,3000,29 - 31,North America,North America,8,8000,high
136,Thailand,7.0,34.0,Male,Chinese,Hostel,2000,Train,1000,32 - 37,Africa,Asia,9,3000,high
137,Spain,7.0,25.0,Female,Spanish,Airbnb,6000,Airplane,2500,20 - 28,Europe,Europe,9,8500,high
138,New Zealand,7.0,39.0,Male,New Zealander,Hotel,7000,Train,2500,38 +,Asia,Asia,10,9500,high
